IdMundial;Fecha;NPartido;Etapa;Grupo;Local;Visita;GL;GV;IndAlargue;GLA;GVA;GLT;GVT;IndPenales;GLP;GVP
ARG1978;01-06-1978;1;FGRUPOS;2;RFA;POL;0;0;N;0;0;0;0;N;0;0
ARG1978;02-06-1978;2;FGRUPOS;2;TUN;MEX;3;1;N;0;0;3;1;N;0;0
ARG1978;02-06-1978;3;FGRUPOS;1;ITA;FRA;2;1;N;0;0;2;1;N;0;0
ARG1978;02-06-1978;4;FGRUPOS;1;ARG;HUN;2;1;N;0;0;2;1;N;0;0
ARG1978;03-06-1978;5;FGRUPOS;4;NLD;IRN;3;0;N;0;0;3;0;N;0;0
ARG1978;03-06-1978;6;FGRUPOS;3;AUT;ESP;2;1;N;0;0;2;1;N;0;0
ARG1978;03-06-1978;7;FGRUPOS;4;PER;SCT;3;1;N;0;0;3;1;N;0;0
ARG1978;03-06-1978;8;FGRUPOS;3;SWE;BRA;1;1;N;0;0;1;1;N;0;0
ARG1978;06-06-1978;9;FGRUPOS;2;RFA;MEX;6;0;N;0;0;6;0;N;0;0
ARG1978;06-06-1978;10;FGRUPOS;1;ARG;FRA;2;1;N;0;0;2;1;N;0;0
ARG1978;06-06-1978;11;FGRUPOS;2;POL;TUN;1;0;N;0;0;1;0;N;0;0
ARG1978;06-06-1978;12;FGRUPOS;1;ITA;HUN;3;1;N;0;0;3;1;N;0;0
ARG1978;07-06-1978;13;FGRUPOS;4;NLD;PER;0;0;N;0;0;0;0;N;0;0
ARG1978;07-06-1978;14;FGRUPOS;3;BRA;ESP;0;0;N;0;0;0;0;N;0;0
ARG1978;07-06-1978;15;FGRUPOS;4;SCT;IRN;1;1;N;0;0;1;1;N;0;0
ARG1978;07-06-1978;16;FGRUPOS;3;AUT;SWE;1;0;N;0;0;1;0;N;0;0
ARG1978;10-06-1978;17;FGRUPOS;1;ITA;ARG;1;0;N;0;0;1;0;N;0;0
ARG1978;10-06-1978;18;FGRUPOS;2;RFA;TUN;0;0;N;0;0;0;0;N;0;0
ARG1978;10-06-1978;19;FGRUPOS;1;FRA;HUN;3;1;N;0;0;3;1;N;0;0
ARG1978;10-06-1978;20;FGRUPOS;2;POL;MEX;3;1;N;0;0;3;1;N;0;0
ARG1978;11-06-1978;21;FGRUPOS;4;PER;IRN;4;1;N;0;0;4;1;N;0;0
ARG1978;11-06-1978;22;FGRUPOS;3;ESP;SWE;1;0;N;0;0;1;0;N;0;0
ARG1978;11-06-1978;23;FGRUPOS;4;SCT;NLD;3;2;N;0;0;3;2;N;0;0
ARG1978;11-06-1978;24;FGRUPOS;3;BRA;AUT;1;0;N;0;0;1;0;N;0;0
ARG1978;14-06-1978;25;FGRUPOS2;A;NLD;AUT;5;1;N;0;0;5;1;N;0;0
ARG1978;14-06-1978;26;FGRUPOS2;A;RFA;ITA;0;0;N;0;0;0;0;N;0;0
